DayNum,Line,MoV,OU,OppTeamID,Season,TeamID,is_neutral,tm_hca
136.0,20.0,-1.0,157.5,1181,2008,1125,1,0
136.0,21.0,-24.0,145.5,1242,2008,1340,1,0
136.0,3.0,13.0,139.5,1425,2008,1243,1,0
136.0,6.0,-8.0,128,1266,2008,1246,1,0
136.0,6.5,-11.0,133.5,1277,2008,1396,1,0
136.0,6.5,-18.0,143,1323,2008,1206,1,0
136.0,8.0,-19.0,129,1338,2008,1331,1,0
136.0,2.5,-11.0,145.5,1345,2008,1124,1,0
136.0,15.5,-24.0,139,1390,2008,1165,1,0
136.0,-1.0,5.0,128.5,1140,2008,1401,1,0
136.0,31.5,-41.0,126,1417,2008,1290,1,0
136.0,-1.5,-13.0,128.5,1424,2008,1245,1,0
136.0,9.5,-31.0,113,1450,2008,1457,1,0
136.0,2.0,-10.0,138.5,1452,2008,1112,1,0
136.0,12.0,-15.0,137.5,1458,2008,1168,1,0
136.0,9.0,-12.0,129.5,1462,2008,1208,1,0
137.0,2.0,14.0,140.5,1231,2008,1116,1,0
137.0,3.5,-20.0,128,1139,2008,1375,1,0
137.0,-1.0,6.0,140.5,1211,2008,1172,1,0
137.0,16.5,-19.0,131.5,1207,2008,1420,1,0
137.0,14.0,-18.0,147.5,1257,2008,1129,1,0
137.0,26.0,-24.0,143.5,1272,2008,1426,1,0
137.0,-1.0,-14.0,137.5,1274,2008,1388,1,0
137.0,2.5,-7.0,142.5,1280,2008,1332,1,0
137.0,1.0,-8.0,128,1328,2008,1386,1,0
137.0,11.5,1.0,132.5,1163,2008,1360,1,0
137.0,6.5,21.0,152.5,1435,2008,1373,1,0
137.0,19.5,-15.0,142,1397,2008,1110,1,0
137.0,15.0,-20.0,141.5,1400,2008,1122,1,0
137.0,5.5,6.0,144,1155,2008,1437,1,0
137.0,4.0,2.0,140.5,1179,2008,1443,1,0
137.0,4.0,2.0,140.5,1179,2008,1443,1,0
138.0,13.5,-19.0,136.5,1242,2008,1424,1,0
138.0,2.5,11.0,131.5,1338,2008,1277,1,0
138.0,2.5,-1.0,133.5,1390,2008,1266,1,0
138.0,2.5,-20.0,133.5,1450,2008,1323,1,0
138.0,4.0,6.0,147,1181,2008,1452,1,0
138.0,5.0,-17.0,130,1458,2008,1243,1,0
138.0,3.0,-7.0,132.5,1462,2008,1345,1,0
